All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ISU,Iselect Limited,Consumer Discretionary,"396,732,000",0.02,,,
IVC,Invocare Limited,Consumer Discretionary,"1,457,900,000",0.08,,,
JBH,JB Hi-fi Limited,Consumer Discretionary,"3,105,020,000",0.18,,,
JHC,Japara Healthcare Limited,Health Care,"538,234,000",0.03,,,
JHX,James Hardie Industries PLC Cdi 1:1,Materials,"9,262,080,000",0.53,,,
KAM,K2 Asset Management Holdings LTD,Financials,"87,595,400",0.01,,,
KAR,Karoon Gas Australia Limited,Energy,"425,251,000",0.02,,,
KMD,Kathmandu Holdings Limited,Consumer Discretionary,"366,702,000",0.02,,,
KSC,K & S Corporation Limited,Industrials,"189,074,000",0.01,,,
LAU,Lindsay Australia Limited,Industrials,"107,648,000",0.01,,,
LEP,Ale Property Group Stapled,Real Estate,"843,765,000",0.05,,,
LHC,Lifehealthcare Group Limited,Health Care,"99,538,100",0.01,,,
LIC,Lifestyle Communities Limited,Real Estate,"382,702,000",0.02,,,
LLC,Lendlease Group Stapled,Real Estate,"8,313,430,000",0.48,,,
LNG,Liquefied Natural Gas Limited,Energy,"430,903,000",0.02,,,
LNK,Link Administration Holdings Limited,Information Technology,"2,763,240,000",0.16,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"407,400,000",0.02,,,
LYC,Lynas Corporation Limited,Materials,"302,797,000",0.02,,,
MAH,Macmahon Holdings Limited,Industrials,"174,387,000",0.01,,,
MAQ,Macquarie Telecom Group Limited,Telecommunication Services,"235,251,000",0.01,,,
MBE,Mobile Embrace Limited,Information Technology,"57,580,600",0,,,
MEA,Mcgrath Limited,Real Estate,"102,367,000",0.01,,,
MEZ,Meridian Energy Limited NZX,Utilities,"3,163,640,000",0.18,,,
MFG,Magellan Financial Group Limited,Financials,"4,028,310,000",0.23,,,
MGC,MG Unit Trust Units,Consumer Staples,"199,751,000",0.01,,,
MGR,Mirvac Group Stapled,Real Estate,"7,558,430,000",0.44,,,
MGX,Mount Gibson Iron Limited,Materials,"416,694,000",0.02,,,
MIG,Migme Limited,Information Technology,"13,278,400",0,,,
MIL,Millennium Services Group Limited,Industrials,"70,270,200",0,,,
MIN,Mineral Resources Limited,Materials,"2,326,740,000",0.13,,,
MLB,Melbourne IT Limited,Information Technology,"196,680,000",0.01,,,
MLD,Maca Limited,Materials,"383,151,000",0.02,,,
MLX,Metals X Limited,Materials,"475,286,000",0.03,,,
MMS,Mcmillan Shakespeare Limited,Industrials,"869,489,000",0.05,,,
MND,Monadelphous Group Limited,Industrials,"992,871,000",0.06,,,
MNF,MNF Group Limited,Telecommunication Services,"329,361,000",0.02,,,
MNS,Magnis Resources Limited,Materials,"320,512,000",0.02,,,
MNY,MONEY3 Corporation Limited,Financials,"264,638,000",0.02,,,
MOC,Mortgage Choice Limited,Financials,"303,650,000",0.02,,,
MP1,Megaport Limited,Information Technology,"133,613,000",0.01,,,
MPL,Medibank Private Limited,Financials,"7,435,810,000",0.43,,,
MQA,Macquarie Atlas Roads Group Stapled,Industrials,"2,682,460,000",0.15,,,
MQG,Macquarie Group Limited,Financials,"28,807,400,000",1.66,,,
MRM,Mma Offshore Limited,Industrials,"102,596,000",0.01,,,
MRN,Macquarie Media Limited,Consumer Discretionary,"154,758,000",0.01,,,
MSB,Mesoblast Limited,Health Care,"642,718,000",0.04,,,
MTR,Mantra Group Limited,Consumer Discretionary,"847,038,000",0.05,,,
MTS,Metcash Limited,Consumer Staples,"2,087,870,000",0.12,,,
MUA,Mitula Group Limited,Information Technology,"169,469,000",0.01,,,
MVF,Monash Ivf Group Limited,Health Care,"404,880,000",0.02,,,
MVP,Medical Developments International Limited,Health Care,"306,116,000",0.02,,,
MYO,Myob Group Limited,Information Technology,"2,073,860,000",0.12,,,
MYR,Myer Holdings Limited,Consumer Discretionary,"989,641,000",0.06,,,
MYS,Mystate Limited,Financials,"396,307,000",0.02,,,
MYX,Mayne Pharma Group Limited,Health Care,"1,907,930,000",0.11,,,
NAB,National Australia Bank Limited,Financials,"81,336,000,000",4.7,,,
